fight_id,fighter_id,round,knockdowns,strikes_att,strikes_succ,head_strikes_att,head_strikes_succ,body_strikes_att,body_strikes_succ,leg_strikes_att,leg_strikes_succ,distance_strikes_att,distance_strikes_succ,ground_strikes_att,ground_strikes_succ,clinch_strikes_att,clinch_strikes_succ,total_strikes_att,total_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
00b7497b02b3b2bb,4a1329cc8eb0928a,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0:00
00b7497b02b3b2bb,4bd6b4800070b069,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0:11
00b801e7e1679f2f,3236bf606fe9fa5b,1,1,51,24,34,11,15,11,2,2,46,20,1,0,4,4,51,24,0,0,0,0,0:10
00b801e7e1679f2f,3236bf606fe9fa5b,2,0,20,11,14,6,6,5,0,0,13,5,0,0,7,6,23,13,1,1,0,0,1:13
00b801e7e1679f2f,98c23cb6da5b3352,1,1,52,29,43,20,9,9,0,0,35,15,9,8,8,6,75,50,2,2,1,0,2:18
00b801e7e1679f2f,98c23cb6da5b3352,2,0,33,24,24,15,9,9,0,0,16,8,7,6,10,10,97,82,2,1,1,0,1:15
00bbcd4a6d647fdf,70e1f8a821b72c8b,1,0,35,18,21,7,5,2,9,9,33,17,2,1,0,0,57,34,3,3,0,0,0:57
00bbcd4a6d647fdf,d4c9dcd330403612,1,0,39,26,32,20,5,4,2,2,39,26,0,0,0,0,40,27,0,0,0,0,0:02
00be3852000f8fe9,1e1dbd1cc5a7469e,1,1,13,6,11,5,1,0,1,1,13,6,0,0,0,0,13,6,0,0,0,0,0:01
00be3852000f8fe9,5e4eec08896c9423,1,0,27,6,24,4,1,0,2,2,26,5,0,0,1,1,27,6,3,0,0,0,0:00
00c20fa576380ac8,86061eaba822bfea,1,0,54,19,42,8,10,9,2,2,47,13,0,0,7,6,59,24,0,0,0,0,0:00
00c20fa576380ac8,86061eaba822bfea,2,0,44,17,28,3,11,9,5,5,34,10,0,0,10,7,45,18,4,1,0,0,0:50
00c20fa576380ac8,86061eaba822bfea,3,0,42,16,28,8,4,1,10,7,42,16,0,0,0,0,43,17,2,0,0,0,0:56
00c20fa576380ac8,f95381efb3051d81,1,0,56,24,44,17,11,6,1,1,47,22,2,0,7,2,60,28,0,0,0,0,0:35
00c20fa576380ac8,f95381efb3051d81,2,0,42,18,27,6,13,10,2,2,37,15,0,0,5,3,51,25,0,0,0,0,0:39
00c20fa576380ac8,f95381efb3051d81,3,0,43,23,27,8,14,13,2,2,43,23,0,0,0,0,46,25,0,0,0,0,0:00
00c6a2ef07ca51da,b9437600497350f3,1,0,55,23,47,18,7,4,1,1,49,20,4,2,2,1,55,23,0,0,0,0,0:09
00c6a2ef07ca51da,b9437600497350f3,2,0,55,28,46,20,7,6,2,2,50,24,0,0,5,4,56,29,1,0,0,0,0:01
00c6a2ef07ca51da,b9437600497350f3,3,0,41,24,38,21,3,3,0,0,36,21,4,2,1,1,49,29,0,0,1,0,1:08
00c6a2ef07ca51da,dc9572dd6ec74859,1,0,51,10,42,5,6,4,3,1,51,10,0,0,0,0,51,10,2,0,0,0,0:22
00c6a2ef07ca51da,dc9572dd6ec74859,2,0,50,19,43,13,5,4,2,2,48,17,2,2,0,0,56,25,3,1,0,0,1:28
00c6a2ef07ca51da,dc9572dd6ec74859,3,0,23,8,23,8,0,0,0,0,21,6,2,2,0,0,54,36,3,0,0,0,1:50
00cf159d5e637238,3f7c14c7eca7195d,1,1,4,2,3,1,1,1,0,0,4,2,0,0,0,0,5,3,0,0,0,0,0:02
00cf159d5e637238,cbd6f1abf955e628,1,0,8,3,3,0,5,3,0,0,8,3,0,0,0,0,8,3,0,0,0,0,0:00
